address,trash_day,lat,lng
"1 10th St, Brooklyn, NY, USA",MON,40.67249899999999,-73.9947988
"1 10th St, Brooklyn, NY, USA",THU,40.67249899999999,-73.9947988
"1 12th St, Brooklyn, NY, USA",MON,40.6714963,-73.9963367
"1 12th St, Brooklyn, NY, USA",THU,40.6714963,-73.9963367
"1 2nd Ave, Brooklyn, NY, USA",MON,40.6487582,-74.01714659999999
"1 2nd Ave, Brooklyn, NY, USA",THU,40.6487582,-74.01714659999999
"100 2nd Ave, Brooklyn, NY, USA",MON,40.6725773,-73.99357719999999
"100 2nd Ave, Brooklyn, NY, USA",THU,40.6725773,-73.99357719999999
"100 7th St, Brooklyn, NY, USA",TUE,40.719133,-73.9601799
"100 7th St, Brooklyn, NY, USA",THU,40.719133,-73.9601799
"100 7th St, Brooklyn, NY, USA",SAT,40.719133,-73.9601799
"100 8th Ave, Brooklyn, NY, USA",WED,40.6727864,-73.9737322
"100 8th Ave, Brooklyn, NY, USA",SAT,40.6727864,-73.9737322
"100 8th St, Brooklyn, NY, USA",MON,40.673196,-73.99284159999999
"100 8th St, Brooklyn, NY, USA",THU,40.673196,-73.99284159999999
"1001 8th Ave, Brooklyn, NY, USA",WED,40.6648099,-73.9798148
"1001 8th Ave, Brooklyn, NY, USA",SAT,40.6648099,-73.9798148
"1002 8th Ave, Brooklyn, NY, USA",WED,40.6651979,-73.9799548
"1002 8th Ave, Brooklyn, NY, USA",SAT,40.6651979,-73.9799548
"101 11th St, Brooklyn, NY, USA",MON,40.6714373,-73.99408129999999
"101 11th St, Brooklyn, NY, USA",THU,40.6714373,-73.99408129999999
"101 14th St, Brooklyn, NY, USA",MON,40.6690508,-73.9944005
"101 14th St, Brooklyn, NY, USA",THU,40.6690508,-73.9944005
"101 15th St, Brooklyn, NY, USA",MON,40.6676477,-73.9932299
"101 15th St, Brooklyn, NY, USA",THU,40.6676477,-73.9932299
"101 8th Ave, Brooklyn, NY, USA",WED,40.6726452,-73.97322319999999
"101 8th Ave, Brooklyn, NY, USA",SAT,40.6726452,-73.97322319999999
"101 8th St, Brooklyn, NY, USA",MON,40.6476078,-73.97262169999999
"101 8th St, Brooklyn, NY, USA",THU,40.6476078,-73.97262169999999
"1013 8th Ave, Brooklyn, NY, USA",WED,40.6645301,-73.9799038
"1013 8th Ave, Brooklyn, NY, USA",SAT,40.6645301,-73.9799038
"1015 8th Ave, Brooklyn, NY, USA",WED,40.664655,-73.979771
"1015 8th Ave, Brooklyn, NY, USA",SAT,40.664655,-73.979771
"1017 8th Ave, Brooklyn, NY, USA",WED,40.664611,-73.97980799999999
"1017 8th Ave, Brooklyn, NY, USA",SAT,40.664611,-73.97980799999999
"1019 8th Ave, Brooklyn, NY, USA",WED,40.664566,-73.979845
"1019 8th Ave, Brooklyn, NY, USA",SAT,40.664566,-73.979845
"102 15th St, Brooklyn, NY, USA",MON,40.6673711,-73.99345939999999
"102 15th St, Brooklyn, NY, USA",THU,40.6673711,-73.99345939999999
"1020 8th Ave, Brooklyn, NY, USA",WED,40.6647755,-73.9802711
"1020 8th Ave, Brooklyn, NY, USA",SAT,40.6647755,-73.9802711
"103 16th St, Brooklyn, NY, USA",MON,40.666733,-73.99293
"103 16th St, Brooklyn, NY, USA",THU,40.666733,-73.99293
"104 15th St, Brooklyn, NY, USA",MON,40.667279,-73.993414
"104 15th St, Brooklyn, NY, USA",THU,40.667279,-73.993414
"105 15th St, Brooklyn, NY, USA",MON,40.6676042,-73.9931265
"105 15th St, Brooklyn, NY, USA",THU,40.6676042,-73.9931265
"105 7th Ave, Brooklyn, NY, USA",WED,40.6739386,-73.9755845
"105 7th Ave, Brooklyn, NY, USA",SAT,40.6739386,-73.9755845
"106 7th Ave, Brooklyn, NY, USA",WED,40.6741923,-73.9758174
"106 7th Ave, Brooklyn, NY, USA",SAT,40.6741923,-73.9758174
"107 16th St, Brooklyn, NY, USA",MON,40.666678,-73.992812
"107 16th St, Brooklyn, NY, USA",THU,40.666678,-73.992812
"107 1st St, Brooklyn, NY, USA",MON,40.6775475,-73.9896048
"107 1st St, Brooklyn, NY, USA",THU,40.6775475,-73.9896048
"108 7th Ave, Brooklyn, NY, USA",WED,40.6741667,-73.97590919999999
"108 7th Ave, Brooklyn, NY, USA",SAT,40.6741667,-73.97590919999999
"109 16th St, Brooklyn, NY, USA",MON,40.666649,-73.99275399999999
"109 16th St, Brooklyn, NY, USA",THU,40.666649,-73.99275399999999
"109 2nd Ave, Brooklyn, NY, USA",MON,40.6715574,-73.993884
"109 2nd Ave, Brooklyn, NY, USA",THU,40.6715574,-73.993884
"109 7th Ave, Brooklyn, NY, USA",WED,40.6736872,-73.9758335
"109 7th Ave, Brooklyn, NY, USA",SAT,40.6736872,-73.9758335
"109 8th Ave, Brooklyn, NY, USA",WED,40.6724281,-73.9733954
"109 8th Ave, Brooklyn, NY, USA",SAT,40.6724281,-73.9733954
"1101 8th Ave, Brooklyn, NY, USA",WED,40.664546,-73.980227
"1101 8th Ave, Brooklyn, NY, USA",SAT,40.664546,-73.980227
"1102 8th Ave, Brooklyn, NY, USA",WED,40.6644602,-73.9805007
"1102 8th Ave, Brooklyn, NY, USA",SAT,40.6644602,-73.9805007
"1105 8th Ave, Brooklyn, NY, USA",WED,40.664311,-73.9802179
"1105 8th Ave, Brooklyn, NY, USA",SAT,40.664311,-73.9802179
"111 15th St, Brooklyn, NY, USA",MON,40.6675847,-73.99298879999999
"111 15th St, Brooklyn, NY, USA",THU,40.6675847,-73.99298879999999
"111 16th St, Brooklyn, NY, USA",MON,40.6666101,-73.9927247
"111 16th St, Brooklyn, NY, USA",THU,40.6666101,-73.9927247
"111 8th Ave, Brooklyn, NY, USA",WED,40.6723582,-73.97338979999999
"111 8th Ave, Brooklyn, NY, USA",SAT,40.6723582,-73.97338979999999
"1113 8th Ave, Brooklyn, NY, USA",WED,40.6641184,-73.9802711
"1113 8th Ave, Brooklyn, NY, USA",SAT,40.6641184,-73.9802711
"1117 8th Ave, Brooklyn, NY, USA",WED,40.6640476,-73.980317
"1117 8th Ave, Brooklyn, NY, USA",SAT,40.6640476,-73.980317
"112 2nd Ave, Brooklyn, NY, USA",MON,40.6721736,-73.9939182
"112 2nd Ave, Brooklyn, NY, USA",THU,40.6721736,-73.9939182
"112 7th Ave, Brooklyn, NY, USA",WED,40.6740387,-73.9759045
"112 7th Ave, Brooklyn, NY, USA",SAT,40.6740387,-73.9759045
"1121 8th Ave, Brooklyn, NY, USA",WED,40.6639703,-73.980317
"1121 8th Ave, Brooklyn, NY, USA",SAT,40.6639703,-73.980317
"113 10th St, Brooklyn, NY, USA",MON,40.6719849,-73.993867
"113 10th St, Brooklyn, NY, USA",THU,40.6719849,-73.993867
"113 8th St, Brooklyn, NY, USA",MON,40.6731241,-73.99184149999999
"113 8th St, Brooklyn, NY, USA",THU,40.6731241,-73.99184149999999
"114 10th St, Brooklyn, NY, USA",MON,40.6719857,-73.9938686
"114 10th St, Brooklyn, NY, USA",THU,40.6719857,-73.9938686
