address,trash_day
"1 10th St, Brooklyn, NY, USA",MON
"1 10th St, Brooklyn, NY, USA",THU
"1 12th St, Brooklyn, NY, USA",MON
"1 12th St, Brooklyn, NY, USA",THU
"1 2nd Ave, Brooklyn, NY, USA",MON
"1 2nd Ave, Brooklyn, NY, USA",THU
"100 2nd Ave, Brooklyn, NY, USA",MON
"100 2nd Ave, Brooklyn, NY, USA",THU
"100 7th St, Brooklyn, NY, USA",TUE
"100 7th St, Brooklyn, NY, USA",THU
"100 7th St, Brooklyn, NY, USA",SAT
"100 8th Ave, Brooklyn, NY, USA",WED
"100 8th Ave, Brooklyn, NY, USA",SAT
"100 8th St, Brooklyn, NY, USA",MON
"100 8th St, Brooklyn, NY, USA",THU
"1001 8th Ave, Brooklyn, NY, USA",WED
"1001 8th Ave, Brooklyn, NY, USA",SAT
"1002 8th Ave, Brooklyn, NY, USA",WED
"1002 8th Ave, Brooklyn, NY, USA",SAT
"101 11th St, Brooklyn, NY, USA",MON
"101 11th St, Brooklyn, NY, USA",THU
"101 14th St, Brooklyn, NY, USA",MON
"101 14th St, Brooklyn, NY, USA",THU
"101 15th St, Brooklyn, NY, USA",MON
"101 15th St, Brooklyn, NY, USA",THU
"101 8th Ave, Brooklyn, NY, USA",WED
"101 8th Ave, Brooklyn, NY, USA",SAT
"101 8th St, Brooklyn, NY, USA",MON
"101 8th St, Brooklyn, NY, USA",THU
"1013 8th Ave, Brooklyn, NY, USA",WED
"1013 8th Ave, Brooklyn, NY, USA",SAT
"1015 8th Ave, Brooklyn, NY, USA",WED
"1015 8th Ave, Brooklyn, NY, USA",SAT
"1017 8th Ave, Brooklyn, NY, USA",WED
"1017 8th Ave, Brooklyn, NY, USA",SAT
"1019 8th Ave, Brooklyn, NY, USA",WED
"1019 8th Ave, Brooklyn, NY, USA",SAT
"102 15th St, Brooklyn, NY, USA",MON
"102 15th St, Brooklyn, NY, USA",THU
"1020 8th Ave, Brooklyn, NY, USA",WED
"1020 8th Ave, Brooklyn, NY, USA",SAT
"103 16th St, Brooklyn, NY, USA",MON
"103 16th St, Brooklyn, NY, USA",THU
"104 15th St, Brooklyn, NY, USA",MON
"104 15th St, Brooklyn, NY, USA",THU
"105 15th St, Brooklyn, NY, USA",MON
"105 15th St, Brooklyn, NY, USA",THU
"105 7th Ave, Brooklyn, NY, USA",WED
"105 7th Ave, Brooklyn, NY, USA",SAT
"106 7th Ave, Brooklyn, NY, USA",WED
"106 7th Ave, Brooklyn, NY, USA",SAT
"107 16th St, Brooklyn, NY, USA",MON
"107 16th St, Brooklyn, NY, USA",THU
"107 1st St, Brooklyn, NY, USA",MON
"107 1st St, Brooklyn, NY, USA",THU
"108 7th Ave, Brooklyn, NY, USA",WED
"108 7th Ave, Brooklyn, NY, USA",SAT
"109 16th St, Brooklyn, NY, USA",MON
"109 16th St, Brooklyn, NY, USA",THU
"109 2nd Ave, Brooklyn, NY, USA",MON
"109 2nd Ave, Brooklyn, NY, USA",THU
"109 7th Ave, Brooklyn, NY, USA",WED
"109 7th Ave, Brooklyn, NY, USA",SAT
"109 8th Ave, Brooklyn, NY, USA",WED
"109 8th Ave, Brooklyn, NY, USA",SAT
"1101 8th Ave, Brooklyn, NY, USA",WED
"1101 8th Ave, Brooklyn, NY, USA",SAT
"1102 8th Ave, Brooklyn, NY, USA",WED
"1102 8th Ave, Brooklyn, NY, USA",SAT
"1105 8th Ave, Brooklyn, NY, USA",WED
"1105 8th Ave, Brooklyn, NY, USA",SAT
"111 15th St, Brooklyn, NY, USA",MON
"111 15th St, Brooklyn, NY, USA",THU
"111 16th St, Brooklyn, NY, USA",MON
"111 16th St, Brooklyn, NY, USA",THU
"111 8th Ave, Brooklyn, NY, USA",WED
"111 8th Ave, Brooklyn, NY, USA",SAT
"1113 8th Ave, Brooklyn, NY, USA",WED
"1113 8th Ave, Brooklyn, NY, USA",SAT
"1117 8th Ave, Brooklyn, NY, USA",WED
"1117 8th Ave, Brooklyn, NY, USA",SAT
"112 2nd Ave, Brooklyn, NY, USA",MON
"112 2nd Ave, Brooklyn, NY, USA",THU
"112 7th Ave, Brooklyn, NY, USA",WED
"112 7th Ave, Brooklyn, NY, USA",SAT
"1121 8th Ave, Brooklyn, NY, USA",WED
"1121 8th Ave, Brooklyn, NY, USA",SAT
"113 10th St, Brooklyn, NY, USA",MON
"113 10th St, Brooklyn, NY, USA",THU
"113 8th St, Brooklyn, NY, USA",MON
"113 8th St, Brooklyn, NY, USA",THU
"114 10th St, Brooklyn, NY, USA",MON
"114 10th St, Brooklyn, NY, USA",THU
"114 12th St, Brooklyn, NY, USA",MON
"114 12th St, Brooklyn, NY, USA",THU
"115 8th Ave, Brooklyn, NY, USA",WED
"115 8th Ave, Brooklyn, NY, USA",SAT
"117 11th St, Brooklyn, NY, USA",MON
"117 11th St, Brooklyn, NY, USA",THU
"117 15th St, Brooklyn, NY, USA",MON
"117 15th St, Brooklyn, NY, USA",THU
"117 8th Ave, Brooklyn, NY, USA",WED
"117 8th Ave, Brooklyn, NY, USA",SAT
"118 16th St, Brooklyn, NY, USA",MON
"118 16th St, Brooklyn, NY, USA",THU
"118 2nd Ave, Brooklyn, NY, USA",MON
"118 2nd Ave, Brooklyn, NY, USA",THU
"118 7th Ave, Brooklyn, NY, USA",WED
"118 7th Ave, Brooklyn, NY, USA",SAT
"118 8th Ave, Brooklyn, NY, USA",WED
"118 8th Ave, Brooklyn, NY, USA",SAT
"119 15th St, Brooklyn, NY, USA",MON
"119 15th St, Brooklyn, NY, USA",THU
"119 7th Ave, Brooklyn, NY, USA",WED
"119 7th Ave, Brooklyn, NY, USA",SAT
"119 8th St, Brooklyn, NY, USA",MON
"119 8th St, Brooklyn, NY, USA",THU
"120 7th Ave, Brooklyn, NY, USA",WED
"120 7th Ave, Brooklyn, NY, USA",SAT
"120 8th Ave, Brooklyn, NY, USA",WED
"120 8th Ave, Brooklyn, NY, USA",SAT
"1201 8th Ave, Brooklyn, NY, USA",WED
"1201 8th Ave, Brooklyn, NY, USA",SAT
"1202 8th Ave, Brooklyn, NY, USA",WED
"1202 8th Ave, Brooklyn, NY, USA",SAT
"1203 8th Ave, Brooklyn, NY, USA",WED
"1203 8th Ave, Brooklyn, NY, USA",SAT
"1205 8th Ave, Brooklyn, NY, USA",WED
"1205 8th Ave, Brooklyn, NY, USA",SAT
